"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"ICAR",0.000402985177757256,0.00142652321297299,0.0032097586753684,0.00145415884392402,0.000307188977405605,0.000103308084509574,0.000189693925684739,0.00110649119602028,0.000141991518814954
"Gullibility",0.00169498270508085,0.00135047708884024,0.0002573824652178,0.000897866286653198,0.00162580587796679,0.000648239422046572,0.00014430307755739,7.28676882546719e-05,0.00270947291563759
"Credulity",0.00178843717934619,0.00130850132235499,6.71591501333922e-05,0.000396663821087912,0.000898021579580092,0.00125301191139828,0.000527110216925928,0.00101264495060203,0.00269215297155562
"Mistrust",0.00115381564225406,0.00158934957804138,0.000118655249732423,0.00195858473065283,0.00090730541358463,0.000237692973618499,0.00269356281267115,0.000101039389324898,0.000383866539055454
"Trust",0.000273721512063279,0.00252606779408872,0.0016759255822798,0.000387645648280445,0.00128298485517248,0.0016486521533933,0.00126513106729256,0.000784721376585883,6.79265024930751e-05
"Social Intelligence",0.00157969286305828,0.00109770434310559,0.000356264131195527,0.00171111122932918,0.00110524518259029,0.00019664988766264,0.000290402993696107,0.00276860620159343,0.00048480673779445
"McA-SL",0.00140502335056126,0.000512156661929805,0.00134848433052144,0.000743390967611835,0.00018520279554842,0.00299291115918266,0.000428340636836447,0.00148107424983573,0.000153918487189871
"Autism",0.00139565629910845,0.000183908700569706,0.00011261314347081,0.00082731746421981,0.0028899192958869,0.00141676339926307,0.0002789045671714,0.00143968950534635,0.000901021355076454
"Paranoia",0.00139374975034253,0.00014468995069566,0.000919712832627311,0.00218417186794574,0.000615787011846021,0.000470229150636635,0.00254242267430932,0.00108970364561184,0.000410331354144796
"ICAR",0.000709389398206381,0.00135745618863857,0.00275629153791977,0.00128866759650321,0.00125924341973775,0.00146919951156807,0.000589580797317455,0.000456492148344731,0.000309903804983391
"Gullibility",0.00171036391720856,0.000494989873049115,0.00132558224510854,0.00127958462024367,0.000423838291394871,0.000475572060879244,7.14316413923142e-05,0.00116447159645283,0.0027691570823447
"Credulity",0.00153188630015162,0.00130570428255521,0.00124575966256721,0.00105408106736323,0.000221742556331141,0.00125470007212492,0.00039182875940451,0.00225763789227788,0.00155291854095689
"Mistrust",0.00111991927667169,0.0014717674701812,0.00183203917756567,0.000116996512101857,0.000305558805699985,0.0026109426949668,0.00139673730604433,0.000580395810315039,0.000107253235884026
"Trust",0.000402878993495054,0.0029710960786694,0.000281851459907764,0.000593856411569779,0.0016782492633056,0.000743512237764632,0.000559926666468328,0.0016482950493115,0.000422428036477642
"Social Intelligence",0.0017965120359498,0.000393197904971963,0.000652031931569572,0.000300236595957265,0.00117214602705313,0.00106807565267894,0.000136803768855055,0.00223067978370325,0.00214319686022948
"McA-SL",0.00145655937507432,0.000544343780550818,0.00028841648778337,0.000875218994697178,0.00217642800575486,0.00183966046907771,0.00191180806138829,0.000832998450823775,0.000512685369373226
"Autism",0.00105992045267908,0.000841632029944182,0.000272345151793413,0.00320983847156807,0.00141088076953913,0.000374505206981052,0.000593292318227724,0.000776732726171998,0.000839548132160957
"Paranoia",0.00152832050687478,0.000233802128578321,0.00103704491082143,0.000255627055667384,0.00178164554806896,7.60864221395521e-05,0.00303375149671121,0.000108736637273205,0.000270636013157053
"ICAR",0.000443633546473141,0.0015926857466665,0.00158410941584641,0.00122056578676786,0.00286837385706185,0.00025549985757924,0.000531889666758843,0.000808603522551185,0.00019432671515172
"Gullibility",0.00171462910138964,0.00149710315136386,0.00116826528001363,0.000327646885302164,0.000934862343791309,0.000722069150560354,0.000273929255557429,0.000221973125566909,0.00279765476557714
"Credulity",0.00184275131769003,0.00128364930189254,0.000524712719138802,0.000874607209818876,0.000455691518429793,0.00116182153583058,0.000442145014421731,0.000916898428059559,0.00270602510327687
"Mistrust",0.00104267719984256,0.00203842848676093,0.000794378922696184,0.00125294033020813,0.000731706697833675,0.000500734682991959,0.00267876481611561,0.000757518506473532,0.000144882971012761
"Trust",0.000251780472170652,0.00206313161594402,0.00225726731274768,0.000242417417676639,0.00029589146185496,0.0015279992544833,0.00141869783175888,0.00144419957275252,7.29601319724715e-05
"Social Intelligence",0.00172363224671834,0.000899991262066634,0.000466470040564799,0.00136703360826573,0.000263832116379285,0.00122296161625022,0.00103060799248121,0.00272235671303263,0.000306775184441861
"McA-SL",0.00134322603877125,0.000431805417318297,9.78825718058853e-05,0.00289863850331486,0.000422140521573241,0.00161768986882673,0.000722458005884127,0.00149595284061901,0.000206538413613021
"Autism",0.00107069023241411,0.000406112574550378,0.00238589278416239,0.000127279016639899,0.00212186278888153,0.0013007097893054,4.43330400553393e-05,0.00146189810359612,0.000804208643845983
"Paranoia",0.00154770567811766,3.47615091249517e-05,0.000452191207749832,0.00131233274160827,0.00114793331907196,0.00238192950283857,0.00216148458953514,0.000101940248329502,5.43888939640237e-05
"ICAR",0.000145431367828257,0.00228894714335396,0.00175471642101098,0.00105133629012601,0.000741292932201419,0.0021204942259753,0.00054084285517816,0.00109100122847709,0.000162564851120027
"Gullibility",0.00181394228869086,0.000504116513785249,0.00114309432033473,0.00156577261120075,0.000772332755266764,0.000294937383504435,0.000240768649439367,0.000345251120561973,0.00279937807286038
"Credulity",0.00180631982010704,0.0010053699622087,0.000898288164175121,0.000791262819134127,0.00148436231343575,0.000323940513228796,0.000556759286985511,0.000793065141598522,0.00265447156993877
"Mistrust",0.00120996045452703,0.00115413515302891,0.00112524785282399,0.00228013834775588,0.000626635083893226,8.80985815620257e-05,0.00251253931063904,9.48632223913244e-05,0.000128329361113168
"Trust",1.44622070633117e-05,0.00251363745183885,0.00171088039236511,0.000655676335741933,0.000864749568187854,0.00166488506750687,0.00114347804400648,0.00119625734863611,0.000257267654533916
"Social Intelligence",0.00163357095513402,0.00102117739171184,0.00110134243559751,0.00103478028111053,0.000208140456509544,0.00111770366527363,5.50850662612394e-05,0.00291283796055546,0.000473997886700002
"McA-SL",0.00133225032072719,0.000766929195998564,0.000539139821076414,0.00054657725628572,0.00314778127672925,0.000177351772903404,0.0012575748683689,0.00113595166351766,0.000485436812167511
"Autism",0.00113334246876493,0.000240743487348521,0.00225465578238692,0.00112314312200774,0.000850373504406527,0.00204807374441777,0.000636451478055857,0.00161893118853068,0.00060737502051212
"Paranoia",0.00149450600769796,0.00039557108095277,0.000164286272471082,0.00188601207424486,0.000913896914019903,0.00174832888094143,0.00239364645200087,0.000474958555840743,0.000423028813459593
"ICAR",0.000537555488787368,0.00147516896732304,0.00286320046765059,0.00184173484607541,0.000348702745325446,0.000489766172529973,0.000270640941145968,0.00122802275908094,4.74924090922712e-05
"Gullibility",0.00161024213785978,0.00151346217769817,0.000101535014998978,0.00108232701223319,0.00150194034729344,0.000452644446994089,0.000174290477383676,0.00019003268033766,0.00272169248467419
"Credulity",0.00168550177215063,0.00140610979244079,0.000304422713865826,0.000663415935505359,0.000927413306981006,0.00118231450177291,0.0010116706761662,0.000308677373036639,0.00269674300495467
"Mistrust",0.00141432559437583,0.00164891399485169,0.000326265218789937,0.000982023711164017,4.58273540925676e-05,3.17995799613887e-05,0.00282788721261303,0.00129261551727333,0.000734189257596693
"Trust",0.000255614339629736,0.00233216649604951,0.00193445082756348,0.000481090063835614,0.00204490758785664,0.00010025082332813,0.000376310202840945,0.00142800507278566,0.000386791886137757
"Social Intelligence",0.00167002217544873,0.000912589703630609,0.000641566712046653,0.00106133679588366,0.000816160719608332,0.000177937927297206,0.00193029553826288,0.0024917770761425,0.000455398987267994
"McA-SL",0.00134567112720144,0.000456942811537551,0.00165262028606085,0.00077475433190958,0.00221834408989302,0.00169975823306492,0.00075142697569816,0.00150772008368739,2.97236789714887e-05
"Autism",0.0013948382947932,0.000468896912451197,0.000307346526227389,0.00208442806533272,0.0011876670300103,0.00209663708685984,0.00112065025588042,0.00147188593310026,0.000408061669246789
"Paranoia",0.00129081518227275,0.000369817608718069,0.000783152599251159,0.00193109338054737,0.0012573850491333,0.0026133476707177,0.00108986372385848,4.34919711987183e-05,0.000504265570327308
"ICAR",0.00108394437531194,6.97507954755135e-05,0.0026065145161046,0.000506933009150727,0.00229902498498061,0.000117836374295054,0.000279590363846997,0.00134675817714092,0.000760243886792529
"Gullibility",0.00144911215911835,0.0018467073752201,0.00129405989724728,0.000476333305587521,0.00101139489388182,0.000123665261032174,0.000273069976563575,0.00130911404385848,0.00240035452899007
"Credulity",0.0014507391885552,0.00207209266427611,0.00110725390596892,0.000281564566516312,7.24639374978287e-05,8.8164577821279e-05,0.000629576708210598,0.000619730693315496,0.00273916793958744
"Mistrust",0.00124068847833973,0.00154356502619112,0.00106112157717277,0.00144626030118902,3.81429782244781e-05,0.00139067894258775,0.00261183076071831,0.000114670317365581,0.000300331877818083
"Trust",0.000737582464025949,0.00226454772779983,0.00159345628555841,0.00167396026908861,0.000959007696079776,2.21111957404914e-05,0.00136260880938915,0.00106606156122678,0.00103594164649256
"Social Intelligence",0.00171696290070601,0.000625128657300974,0.000884949668204133,0.00167864778341924,0.000401174811923132,0.000502679809760958,0.000373079281614203,0.00274540847249478,0.000984974218600982
"McA-SL",0.00135630189619987,0.000583121526994414,4.53483855382401e-05,0.000898093688054764,0.00144842051282327,0.00318592445435228,0.000162601680475427,0.000851301358550062,0.000112230932259755
"Autism",0.00124929735891175,0.000106291201091504,0.00136203740375673,0.00134984624098501,0.00253842229892266,0.00160694751374402,9.3558350346899e-05,0.00130574284390408,0.000105555232606731
"Paranoia",0.00147949255820082,0.000195844104008567,7.72213077976064e-06,0.00225754723809224,0.000250423316690674,0.00102151345614293,0.00256868679931595,0.00098580632373059,3.6622549723031e-07
"ICAR",0.000875817010347976,0.000444286609956818,0.00184681852620902,0.00307572903818659,0.000548026780544958,0.000176251548509842,0.000245568913125731,0.00130458956523481,0.000266552437890316
"Gullibility",0.0016260222928594,0.00161858840387136,0.00114641679345902,0.000245380987667016,0.00094142246975701,2.36176188617624e-05,0.000157038896328507,0.000660568008546781,0.00283088226904343
"Credulity",0.00156338015534431,0.00181417971069492,0.00110821994952116,0.000178685401004949,0.000757243704000974,0.000333209718232487,0.000284915551839409,0.000660963093134326,0.00279320939286517
"Mistrust",0.00122752709622638,0.00170275619473102,0.000972837261548409,0.000161534074925675,0.000661850167054634,0.0025518729711373,0.00183041949401718,0.000565615918449797,2.88925385318155e-05
"Trust",0.000448126332494346,0.00251655505827698,0.00146719575521339,0.000355022715700866,0.00143735223208628,0.000740506682007259,0.00203545003507253,0.000645214265427973,0.000117213639294278
"Social Intelligence",0.00164678088407732,0.000525459057897567,0.00108309623345864,0.000289379023467017,0.00182428612904157,0.000148396743709437,0.000741570398841221,0.00280118906394843,9.24095534944913e-05
"McA-SL",0.00153659641624251,0.000618252935227852,0.00015220421026937,0.00086617955343861,0.00116732575068216,0.00273118287061637,0.00163372664462707,0.000988623209559547,0.00012146497625154
"Autism",0.000975072053882703,3.2973532979986e-06,0.00237621720100279,0.00222259042305349,0.000120538636297795,0.0011443921429595,0.00122724462026149,0.00124938355622432,0.000267685774696921
"Paranoia",0.00155351769822726,2.73890188146654e-05,0.000324177312498658,0.000722288563748886,0.00265155547172216,7.6995021428852e-05,0.0019013802063629,0.00151776337198388,5.92782274759798e-05
"ICAR",0.00085639877304333,0.00065416524814194,0.00277022308940865,0.00144861554500889,0.00147235932769868,0.00111753390230416,0.000772124230458091,0.00102551775023853,3.79408927648956e-05
"Gullibility",0.0017261385338115,0.000830598443622295,0.000779729502782216,0.000796740344055672,0.0016455895346042,0.000927903313032382,0.000426244240251711,0.000645232672948846,0.00263074131850027
"Credulity",0.001805928032669,0.00128963171154224,3.43548127461916e-05,0.000480135127846951,0.00112045460414224,0.000345448111266995,0.000660720687297765,0.000843957773292016,0.00288447474040054
"Mistrust",0.00118177807358255,0.00161881652610975,0.000703459396215829,0.00180006143286515,0.000380236906724747,0.00142571786092383,0.00243500344733932,0.000217545292612194,0.000306493210847646
"Trust",0.000192293910510382,0.00285001715799714,0.000751327173476555,0.000359926927099037,0.00129049595735336,0.00119637623041053,0.00156384449062199,0.00112036522251013,0.000590645082390184
"Social Intelligence",0.00166632932141262,0.00100562473370793,0.00104897125260145,0.00062861092633537,0.00114593326190765,0.00110961276235838,0.000411566473878237,0.00280969220405109,0.00032926028458044
"McA-SL",0.00101611675163779,0.00106138604872489,0.000408426322641952,0.00269757938703369,0.000785669311208676,0.00219393789178124,0.000572128690651832,0.000787658940804607,0.000137266918710711
"Autism",0.00125990459839582,2.51488348404372e-05,0.00182398684314181,0.000509940257375823,0.00231024373793985,0.0017457922934699,0.00029557039151085,0.00148785773821156,0.000372748578638736
"Paranoia",0.00148174499283921,0.000580866114271891,0.00143641125265199,0.0013169260491124,0.000889465691639419,0.00110199674696293,0.00241384687934839,0.00133741605148366,0.0002203867720259
"ICAR",0.000541580668182034,0.000951296000004659,0.00290390058222982,0.000277614431694398,0.00176149527129554,0.00152789587144135,0.000667155224832158,0.000605520325027589,0.00020720905689787
"Gullibility",0.00162273602035502,0.00115794892805466,0.00129069154079236,0.000478381541293005,0.000680106136568858,0.00134609921702524,0.00071071637059526,0.00103737999071263,0.00250506408542756
"Credulity",0.00164205164534157,0.00156284918097552,0.000598235887601051,6.75708681405737e-05,0.00021319334887063,0.0016385010191733,0.00046055888073084,6.06249428284754e-05,0.00274823397329494
"Mistrust",0.00111574373657288,0.00186333069057508,0.000407728431660919,0.0022075112601581,7.30309950952102e-05,0.00094054394690907,0.00214795889124416,0.000516691022305503,0.000687831927749851
"Trust",2.58284705370579e-05,0.00268288094532502,0.0015978902858474,0.00146174920828738,0.000562287284067475,0.00071923345873686,0.00087338320857887,0.00130510227083628,0.000901090830841842
"Social Intelligence",0.00165826992889766,0.000616011872896412,0.000325196872299848,0.00203901393051121,0.000396941632402228,0.000289886714969632,4.42217890004669e-05,0.0028571152185475,0.000447972649906128
"McA-SL",0.00152400914111875,0.000162935922268889,0.000312116792999782,0.000599706755732769,0.00196962343423898,0.00244751430458485,0.00123533821243117,0.00121801707968582,0.000560726393463925
"Autism",0.00134623829650621,0.000138058057314258,0.00161146430277383,0.000258383898276312,0.00283225462278851,0.000640398723215668,0.000443760152428864,0.00164771599868227,0.000401665439921777
"Paranoia",0.00149890387158528,0.000465577532946916,0.000155266354719714,0.00202378619271195,9.48301196309163e-05,0.00113246400672653,0.00278140376389799,0.000470754677625085,0.000409172588757056
"ICAR",0.000730565655807907,0.000602602779053602,0.00329690023249652,0.00175931211127689,0.000674278533981888,0.00023919499760661,0.000413406253196751,0.000663919398300133,0.000121876902731835
"Gullibility",0.0016311371728568,0.00128647725867303,0.000402982991955234,0.00180365452472844,0.000396958669494839,0.000277726301259845,0.000217445476890861,6.42441692107567e-05,0.00282536456363897
"Credulity",0.0015766823155458,0.00171755285643027,0.000291497209168425,0.000677927103326957,0.00123139316417278,0.000389739553378326,7.15076427727246e-05,0.00180037686304957,0.00225938775880037
