"","V1","V2","V3"
"178",0.30243,0.15336,0.12899
"179",0.31738,0.13745,0.12826
"180",0.35102,0.14985,0.12559
"181",0.32647,0.1579,0.11862
"182",0.3304,0.16098,0.12775
"183",0.34178,0.15941,0.12799
"184",0.33594,0.15964,0.12434
"185",0.32253,0.13049,0.11692
"186",0.36421,0.15068,0.10993
"187",0.32712,0.15592,0.11807
"188",0.37344,0.14591,0.11055
"189",0.33595,0.13687,0.11868
"190",0.3373,0.16148,0.12251
"191",0.36178,0.16392,0.11465
"192",0.35253,0.15368,0.12772
"193",0.30448,0.15215,0.13315
"194",0.34541,0.15425,0.11911
"195",0.30708,0.1451,0.13231
"196",0.3174,0.16693,0.11888
"197",0.30945,0.16939,0.12666
"198",0.35807,0.1565,0.12994
"199",0.36223,0.15558,0.111
"200",0.32311,0.17609,0.1292
"201",0.35679,0.14077,0.11635
"202",0.34059,0.17164,0.10557
"203",0.37147,0.16055,0.11333
"204",0.34198,0.15683,0.12443
"205",0.32443,0.14561,0.13528
"206",0.35784,0.18175,0.11878
"207",0.35319,0.1586,0.1275
"208",0.30243,0.15336,0.12899
"209",0.36264,0.157,0.12033
"210",0.36229,0.16909,0.10788
"211",0.33038,0.16306,0.12298
"212",0.30808,0.14106,0.12148
"213",0.33595,0.13687,0.11868
"214",0.35434,0.1484,0.12496
"215",0.32816,0.15844,0.11962
"216",0.36137,0.16433,0.11623
"217",0.33362,0.16038,0.11741
"218",0.38367,0.16283,0.11907
"219",0.39255,0.13917,0.11246
"220",0.31319,0.15647,0.13309
"221",0.32246,0.1562,0.13421
"222",0.33351,0.16694,0.11766
"223",0.37753,0.15073,0.12898
"224",0.32326,0.16345,0.12345
"225",0.36899,0.15501,0.11342
"226",0.3746,0.15475,0.11565
"227",0.31118,0.15869,0.12054
"228",0.38326,0.14649,0.11335
"229",0.32497,0.16489,0.12235
"230",0.34239,0.15662,0.13065
"231",0.35784,0.18175,0.11878
"232",0.39022,0.13918,0.10636
"233",0.31118,0.15869,0.12054
"234",0.37147,0.16055,0.11333
"235",0.32758,0.1566,0.11629
"236",0.31653,0.18223,0.12316
"237",0.35253,0.15368,0.12772
"238",0.32385,0.13731,0.12478
"239",0.36887,0.15558,0.1185
"240",0.36142,0.15955,0.11364
"241",0.28145,0.1456,0.14052
"242",0.34936,0.1466,0.12783
"243",0.34878,0.15009,0.11332
"244",0.33911,0.13975,0.12726
"245",0.33659,0.14534,0.12707
"246",0.31868,0.14884,0.13301
"247",0.36808,0.14775,0.12357
"248",0.37472,0.16245,0.11749
"249",0.33321,0.16717,0.11344
"250",0.37147,0.16055,0.11333
