"","ICAR","Gullibility","Credulity","Mistrust","Trust","Social Intelligence","McA-SL","Autism","Paranoia"
"1",0.305281441517606,-6.89983467388451,-4.78591079344012,3.4238774305743,0.173010581149709,12.9706659730939,-5.25270486228455,-5.64282025212443,-2.36251297550381
"2",-2.19184544928972,9.45520531547107,0.16112724501136,9.24230577542631,-8.05408412530849,-34.0622846900877,-53.1146077167333,5.4840755391064,47.8886969047484
"4",3.89855416145676,-6.81407464896017,-1.66190229810719,-0.960735279322782,-6.70501156958278,-7.94242515701576,8.81418962618031,1.4259115537734,3.23465413414967
"5",1.52344545466768,-7.48476266708207,-2.75206680825555,-3.02692312150171,7.03130036917887,34.5985515188352,-9.46778157480775,-8.76781219676497,-2.39328611849423
"7",-4.30480947857367,12.2288053635019,-2.59989805044069,6.84695836572863,3.35597735505104,-5.89897072207084,9.84763687041279,1.96027745672243,-5.96676231102358
"10",3.52344545466768,-14.4847626670821,-5.75206680825555,-3.02692312150171,1.03130036917887,20.5985515188352,6.03221842519225,1.23218780323503,-9.39328611849423
"11",-2.72059091336884,20.5666933478724,0.322338288944245,3.74230925255998,-13.8955129212605,-42.5493031592309,-3.62764488172877,1.87342688677387,7.36501414729787
"12",2.44209999865551,-2.46761066209725,0.272734890811049,2.89615433651885,-4.9443040609676,20.2159332928131,12.1455973228852,1.44593416441464,19.5261473034365
"14",0.564118182673767,1.50666133042552,-2.76446765778885,-5.988461850512,3.01910258425211,13.7898606318462,5.72552897634576,-2.87468537735477,-2.35300282945958
"16",2.23873635862508,-8.4247306496352,-2.66526086152246,-1.29615201842974,4.11668486366623,20.2593877277581,10.1790445671177,0.980300067363671,-4.67526914173678
"17",-6.15117272128363,-18.5533706870213,-3.85127360452194,6.28076704641602,3.93371808976476,20.1290244229233,5.57870283442029,4.37720235851659,-7.07101980621702
"21",2.40142727064942,-4.45903465960484,-2.71486425965565,-3.14230693447087,5.06789372395917,27.0246241798021,21.4522867717317,-0.447192654995551,-8.51413598559818
"22",2.27940908663116,-11.4333066521276,-4.67766171105576,1.74230925255998,-9.89551292126054,1.45069684076907,-3.62764488172877,-0.126573113226134,-4.63498585270213
"23",0.767481822704199,-3.53621868203652,3.17352809454466,-10.7961554955634,0.958113659618285,19.7464061969013,10.6920817321133,1.5909487196962,-3.15158638428632
"24",2.50864508154806,26.0572853136537,3.15208495889332,-1.38381621447702,-8.88797834348425,-32.0727884618505,8.21384789348287,4.82281384492632,-4.16109653033057
"26",1.56411818267377,-0.493338669574478,-2.76446765778885,-0.988461850511997,-0.980897415747892,32.7898606318462,18.2255289763458,-10.8746853773548,-6.35300282945958
"28",1.07604544660073,6.60957336033443,-0.615657463389259,2.55000289761139,0.165476003373284,-13.505848724286,1.90580236250371,4.40779278972289,-2.83640229787538
"29",1.32008181463725,-11.44188265462,-7.69006256058906,-6.2192294764503,-0.907710706187304,31.6420059537801,14.5656656694247,-2.23344629381594,-9.59470256366748
"31",-3.76126364137492,-16.4247306496352,3.33473913847754,1.70384798157026,-1.88331513633377,18.259387727758,40.6790445671177,0.980300067363671,-8.67526914173678
"32",2.34595416952371,3.09158932362333,-1.79831164297348,-3.53766129843589,0.160812796222811,-5.83802491389457,3.44060568886885,-0.749693432714456,-7.32222968646917
"33",-1.88328182539318,6.60099735784202,-0.628058312922558,-1.41153583139889,3.15327821844652,5.685460388725,13.5991129136572,1.30091960913309,11.2038809911593
"34",-0.85740947050672,-7.86553066391463,1.26369260469302,-4.72996765338448,-2.77819827914337,-15.7945704789497,1.97405293310133,-3.21532752976543,-1.52364613164243
"35",3.22393598550545,-9.88268266889945,-3.76110909437358,-1.65304511140504,3.1974061510031,20.5880477470724,7.86067403540834,-2.42907389094504,2.55692044642687
"36",2.19806363061899,7.5838453528572,9.34713998801084,6.66538671058055,4.12888264859299,-7.93192138525297,3.48573401596422,2.08717324795348,19.2844475692286
"37",-0.80193636938101,19.5838453528572,7.34713998801084,3.66538671058055,1.12888264859299,-19.931921385253,-31.5142659840358,3.08717324795348,10.2844475692286
"40",3.52344545466768,-10.4847626670821,-1.75206680825555,-12.0269231215017,5.03130036917887,21.5985515188352,8.03221842519226,-0.767812196764967,-9.39328611849423
"41",0.630663265566317,-17.9684426938235,-10.8851175897066,3.73156759849213,-9.92457169826454,34.5011388771825,-1.20622045305662,-11.4978056968431,-10.0402466632266
"43",2.4827727266616,-13.4761866645897,-4.73966595872225,3.93461560750857,-0.956501845894362,16.4072424058242,-10.1610921259613,0.339060983824839,-7.43356940752887
"49",2.84882727871637,11.4466293129787,2.14872639547806,-2.71923295358397,-1.06628191023524,11.1290244229233,14.0787028344203,0.37720235851659,-3.07101980621702
"50",0.939226889462848,-1.82265065145258,-1.67430314764049,5.07772599166694,6.28279064549046,4.24888395599526,22.5075001773338,-2.6809616268164,-3.72506257681568
"53",-2.97942765452498,-17.8398026564374,1.30089515329291,9.15464853364637,-6.74160492436307,-49.3684978179827,-22.1058787203592,3.10529201200399,-4.64449599874638
"54",1.26460871351154,3.10874132860814,3.22649005609312,8.38541615958468,4.18520836607634,16.7793568600834,3.05398458656185,0.464052928465155,5.59720373546152
"55",-2.30480947857367,-19.7711946364981,-5.59989805044069,-6.15304163427137,6.35597735505104,-17.8989707220708,-7.15236312958721,13.9602774567224,-3.96676231102358
"56",-1.76126364137492,-5.4247306496352,-0.665260861522455,1.70384798157026,1.11668486366623,-14.7406122722419,2.17904456711773,-1.01969993263633,-9.67526914173678
"57",1.89855416145676,-9.81407464896017,-0.661902298107189,-0.960735279322782,2.29498843041722,8.05757484298424,22.8141896261803,4.4259115537734,-4.76534586585033
"58",1.23873635862508,-5.4247306496352,-3.66526086152246,0.703847981570263,2.11668486366622,9.25938772775805,5.17904456711773,1.98030006736367,-2.67526914173678
"59",1.03537271859464,17.6181493628268,6.39674338614404,1.51154162662168,-6.82232621169995,-20.697157837297,1.7124918113502,-6.4853340296873,-1.87668558691003
"60",-2.80193636938101,-18.4161546471428,-2.65286001198916,0.665386710580546,-5.87111735140701,-13.931921385253,18.4857340159642,3.08717324795348,9.28444756922857
"61",2.69519052142633,30.2288053635019,11.4001019495593,-2.15304163427137,3.35597735505104,19.1010292779292,-19.6523631295872,-1.03972254327757,-4.96676231102358
"62",1.58999053756023,-8.95986669133113,-2.87271674017328,2.69310632750241,0.0876260866622231,-19.6901702358285,-48.8995310042101,3.60906748374671,8.91947004773873
"63",1.27940908663116,3.56669334787239,2.32233828894424,2.74230925255998,8.10448707873946,-0.549303159230933,12.8723551182712,-1.12657311322613,-4.63498585270213
"65",-0.842609097387096,-1.40757864465038,4.35954083754414,0.626925439590829,3.14108043351975,-2.12323049826399,5.79242346481072,-1.80595357145672,-1.75583571980608
"66",1.95402726258247,0.635301367811663,1.42154508521064,2.43461908464224,-3.79793064184642,-15.0797760633191,-12.6741292909568,-4.27158766850769,8.04274783502067
"67",0.19806363061899,3.58384535285721,5.34713998801084,-2.33461328941945,-2.87111735140701,-8.93192138525297,-29.0142659840358,-6.91282675204652,-0.715552430771429
"68",0.857881433450676,-5.80549864646776,-4.64950144857389,-7.9991965503125,5.30718621534399,24.8662657299732,-6.87912092497319,-10.4672152656368,-9.80562915488498
"69",0.427299625535885,2.07443731863851,-0.823113342040078,2.53926124354354,-3.86358277363072,3.54459331212747,11.8272267911759,-3.96343979389407,6.75833689160012
"70",2.18326325749937,-15.874106666407,-4.74870824484028,-2.69150638239476,1.20960393592987,22.3967386340614,37.6673634842548,-0.322200710355234,-6.48336284260778
"71",-0.101445838543238,12.1859253510398,4.33809770189281,6.03926472067722,-7.70501156958278,27.0575748429842,-2.18581037381969,-1.5740884462266,9.23465413414967
"73",-0.883281825393183,1.60099735784203,3.37194168707744,-1.41153583139889,-1.84672178155348,-7.314539611275,-36.4008870863428,-1.69908039086691,-9.79611900884073
"75",1.1573909026129,-15.4075786446504,-4.64045916245586,-0.373074560409171,0.141080433519754,20.876769501736,0.292423464810716,-6.80595357145672,-9.75583571980608
"76",-4.38615493458584,10.2459573684867,5.4249036486259,-1.2299641762508,4.38037292490457,-2.28158894809288,3.96101576810578,1.17402381790204,-10.0473288890929
"78",1.52344545466768,-10.4847626670821,-7.75206680825555,1.97307687849829,-5.96869963082113,-0.40144848116483,-1.46778157480775,-2.76781219676497,-9.39328611849423
"79",2.56411818267377,-9.49333866957448,-4.76446765778885,3.011538149488,-5.98089741574789,-13.2101393681538,-32.2744710236542,2.12531462264523,-6.35300282945958
"80",1.91335453457639,26.6438773703041,10.4339459347439,1.39615781365252,4.21426714308034,-40.2710851763301,-44.8674398421103,9.83528551208211,6.00246454598602
"81",1.17420910276506,-0.621978706960618,-0.950480400788336,4.58845721433376,-3.16386418964936,-2.34050267298856,0.625187243648318,1.52221691379815,2.25124650606018
"82",2.99469999058856,-6.37327463468075,-3.59085576432266,-1.52691964436804,2.18987157322681,42.1115330496919,17.0191812601967,0.621539150902503,-0.916968875944681
